"#","Qty","Reference","Value","Footprint","DNP","OEPS PN","MPN"
"1","1","J1","24 pins","stepperdriver front panel:Omron_XF2M-2615-1A_1x26-1MP_P0.5mm_Horizontal","","OEPS070070","XF2M-2615-1A"
"2","6","LED1,LED2,LED3,LED4,LED5,LED6","XZMDK45WT-9","stepperdriver front panel:SunLED XZMDK45WT-9","","OEPS030018","XZMDK45WT-9"
"3","1","R1","0R","Resistor_SMD:R_0603_1608Metric","","OEPS020079","RC0603FR-070RL"
"4","4","R2,R5,R6,R7","~","Resistor_SMD:R_0402_1005Metric","DNP","OEPS000000","DNP"
"5","2","R3,R4","0R","Resistor_SMD:R_0603_1608Metric","DNP","OEPS020079","RC0603FR-070RL"
"6","4","R8,R9,R10,R11","10k","Resistor_SMD:R_0402_1005Metric","","OEPS020013","ERJ-2RKF1002X"
"7","1","U$8","3M_4x3","stepperdriver front panel:3M_3712-62B3-003","","OEPS070054","37212-62M3-003PL"
"8","3","U$4,U$5,U$6","3M_1x4","stepperdriver front panel:3M_372_1X4_TYPE_A","","OEPS070053","37204-62A3-004PL"
